album_id,album_name,release_date
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
0SVzFcpsByITKgURaxXdsV,RAPSTAR,2021-04-09
57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,2019-06-07
3lwHyR4joA1xB7Nun21EP6,deja vu,2021-04-01
1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),2021-04-09
7dfPqXck6BB9wpThrVYBss,Leave The Door Open,2021-03-05
66FPnVL9G4CMKy3wvaGTcr,drivers license,2021-01-08
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
7g5WqPI4CdA22Cy8LxRXCf,Los Legendarios 001,2021-02-04
1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27
5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,2020-03-27
00wSTrFxoSzA7eeS1UxHgd,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
2adSO4KU3FDjeM1PXCRDZm,The Business,2020-09-16
0Fe4Uj7GkgA1uDGGk8s92C,Up (Instrumental),2021-02-04
39qsmsNRXjVaFqTZj9af0j,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15
3MEKpJ7wSSp6Z661ThjrUJ,Destined 2 Win,2021-04-02
6YMSXPIHkA2jPIlFHuejXW,All My Demons Greeting Me As A Friend (Deluxe),2016-03-11
3YjfdLdpQcVI72uKhooZst,F*CK LOVE (SAVAGE),2020-11-06
270o30h7cAlEhBnbuSpFZq,El Dorado,2021-03-26
4fEgAL4ge9hHhxVDCUZbeF,Small Town Boy (Track By Track),2020-11-12
1MmVkhiwTH0BkNOU3nw5d3,Hot Pink,2019-11-07
5sIyJyOgwEIOgBhLxIGG3t,Bandido,2020-12-10
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09
