artist_id,artist_name,type
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,artist
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,artist
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,artist
6AgTAQt8XS6jRWi4sX7w49,Polo G,artist
1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,artist
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,artist
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,artist
7tYKF4w9nC0nq9CsPZTHyP,SZA,artist
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,artist
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,artist
6PvvGcCY2XtUcSRld1Wilr,Silk Sonic,artist
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist
0n6sKrG0xKAf8xmdqeNGke,Los Legendarios,artist
3E6xrwgnVfYCrCs0ePERDz,Wisin,artist
0EFisYRi20PTADoJrifHrz,Jhay Cortez,artist
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,artist
4r63FhuTkUYltbVAg5TQnk,DaBaby,artist
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,artist
4q3ewBCX7sLwd24euuV69X,Bad Bunny,artist
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,artist
4kYSro6naA4h99UJvo89HB,Cardi B,artist
7i9j813KFoSBMldGqlh2Z1,Riton,artist
1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,artist
4L2dV3zY7RmkeiNO035Fi0,Mufasa & Hypeman,artist
3Edve4VIATi0OZngclQlkN,Dopamine,artist
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,artist
4IVAbR2w4JJNJDDRFP3E83,6LACK,artist
1WgXqy2Dd70QQOU7Ay074N,AURORA,artist
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,artist
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,artist
6ASri4ePR7RlsvIQgWPJpS,iann dior,artist
3klZnJvYGIbWritVwQD434,Duncan Laurence,artist
7iK8PXO48WeuP03g8YR51W,Myke Towers,artist
2LmcxBak1alK1bf7d1beTr,Juhn,artist
06HL4z0CvFAxyc27GXpf02,Taylor Swift,artist
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,artist
6KImCVD70vtIoJWnq6nGn3,Harry Styles,artist
7jZM5w05mGhw6wTB1okhD9,ATB,artist
0u6GtibW46tFX7koQ6uNJZ,Topic,artist
5Wg2b4Mp42gicxEeDNawf7,A7S,artist
3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist
77ziqFxp5gaInVrF2lj4ht,Sech,artist
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,artist
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,artist
2o08sCWF5yyo2G4DCiT7T9,HVME,artist
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,artist
04gDigrS5kc9YWfZHwBETP,Maroon 5,artist
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,artist
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,artist
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,artist
4riOEaOW5hCeqomFDBk0aP,Rochy RD,artist
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,artist
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,artist
